city,country,longitude,latitude,sqm,total_rooms,max_guests,has_wifi,has_pool,distance_to_center,distance_to_sea,typeOfRental,nombre_etoiles,rental_rent
Miami,USA,-80.15599024859013,25.753312453062694,37,2,6,0,0,3.47,4.86,DAILY,4,273513287310730944
Tangier,Morocco,-5.868292949478263,35.71633404112059,142,4,8,0,1,11.65,11.86,DAILY,2,64573954204296736
Casablanca,Morocco,-7.574541335766141,33.594925370339325,67,2,4,1,0,0.47,1.58,DAILY,1,34389758405243928
Abu Dhabi,UAE,54.34778118028435,24.46413355785134,97,2,3,0,1,3.4,11.01,DAILY,5,332905147132248768
Abu Dhabi,UAE,54.33182649217908,24.487640718989404,51,1,2,0,0,3.56,12.04,DAILY,3,184623958168429184
Valencia,Spain,-0.3328126788695449,39.496992518097436,40,1,4,0,0,11.68,6.33,DAILY,2,87140587094384768
Nice,France,7.278379884489036,43.67179894013362,199,5,11,0,0,8.67,19.15,DAILY,1,206393044446027328
Nice,France,7.259639608241761,43.66853758338669,176,5,10,1,1,12.36,11.27,DAILY,5,354193092872834368
Madrid,Spain,-3.6542267111464644,40.40776521674588,160,4,8,0,1,11.32,19.96,DAILY,2,179389821659721440
Marrakech,Morocco,-7.935920401229693,31.619645542248247,58,1,3,0,1,11.16,13.35,DAILY,3,52246034038579312
Marrakech,Morocco,-7.945942786002035,31.635483070530245,144,5,10,1,0,6.6,4.09,DAILY,3,65833154418442560
Lyon,France,4.842708046181773,45.77996822021055,75,2,6,1,0,5.22,19.88,DAILY,3,182729790013064832
Valencia,Spain,-0.413367602254557,39.48530249510875,28,1,4,1,0,3.41,3.87,DAILY,1,60399998759687176
Madrid,Spain,-3.7151812819925594,40.46257976196126,172,5,9,0,1,8.69,13.9,DAILY,1,171863544931946784
Casablanca,Morocco,-7.580234945457564,33.61796790208854,169,5,12,1,1,9.47,6.46,DAILY,2,73712665469638656
Abu Dhabi,UAE,54.39136825240459,24.410795550366387,15,1,2,1,0,12.27,9.59,DAILY,3,167490920570772608
Miami,USA,-80.16503489396705,25.72417166792919,148,4,10,1,1,5.37,17.06,DAILY,4,472390059581817280
Los Angeles,USA,-118.20307660003499,34.089733095177785,37,1,4,1,0,5.38,1.65,DAILY,4,289348874502463360
Dubai,UAE,55.300822958812795,25.25351276209376,69,2,5,1,0,0.66,4.71,DAILY,4,277911268110412896
Marrakech,Morocco,-7.95296187144348,31.601091586227493,97,2,6,1,0,11.26,19.02,DAILY,1,31207803960818120
Abu Dhabi,UAE,54.41398757526831,24.427803417618893,146,5,11,1,0,7.79,15.4,DAILY,1,200191136295198592
Marseille,France,5.360728053523463,43.301216085332925,173,5,9,0,1,14.51,11.34,DAILY,3,275059730621780448
Miami,USA,-80.23999629474329,25.79930666323409,89,2,3,0,0,8.5,0.37,DAILY,3,273955710354218784
Madrid,Spain,-3.6977222515349872,40.38314473716839,127,3,6,1,1,10.31,11.59,DAILY,4,217469422292818112
Los Angeles,USA,-118.22700973749139,34.03211423573619,188,6,13,1,0,9.46,12.28,DAILY,4,421758374563288384
Abu Dhabi,UAE,54.378323270458544,24.449054514760125,156,5,9,0,0,5.94,6.02,DAILY,2,232151251668691808
Dubai,UAE,55.25776750968866,25.21029358231046,92,2,5,0,0,1.87,10.78,DAILY,5,335201010488418368
Dubai,UAE,55.25743233161248,25.214732310338484,91,2,5,0,0,3.13,19.07,DAILY,5,333588452253343872
Dubai,UAE,55.31490225286138,25.237469745977805,75,2,4,1,1,1.54,12.74,DAILY,3,269869772633696320
Abu Dhabi,UAE,54.34099225884768,24.41587533153388,40,2,3,1,0,9.51,9.55,DAILY,1,101714058509137136
Lyon,France,4.826683349865434,45.73058508388115,166,5,9,0,0,4.04,17.39,DAILY,2,187607495599404000
Paris,France,2.389473646125441,48.884926974568295,74,2,4,1,1,3.41,3.75,DAILY,2,209929195859684640
Abu Dhabi,UAE,54.42013192665727,24.44898655622737,162,5,9,0,0,7.89,2.44,DAILY,2,247640027068416800
Chicago,USA,-87.6595480556292,41.9212955459472,121,4,9,0,1,1.09,14.39,DAILY,3,376807249465171328
Los Angeles,USA,-118.27551826722372,34.07602347688285,181,5,11,1,0,5.59,13.91,DAILY,3,378523959575099648
Barcelona,Spain,2.1601780487425035,41.39170690554008,150,4,10,1,0,2.1,19.97,DAILY,5,266947133728803456
Marseille,France,5.3658774098664255,43.261884829150226,61,1,2,1,0,12.35,7.05,DAILY,2,109013176325430784
Los Angeles,USA,-118.22970975563861,34.05449073267025,129,3,6,0,1,9.28,2.52,DAILY,5,403763003762087296
Dubai,UAE,55.287177417366706,25.235415849489886,48,1,3,0,0,4.38,3.67,DAILY,3,193955663557362720
Rabat,Morocco,-6.878302062465321,33.9829251214856,105,4,9,0,1,0.72,13.17,DAILY,5,100221229259633968
Marseille,France,5.393904082973728,43.29141974000341,150,5,11,1,0,14.56,8.28,DAILY,2,186660073924651648
Sevilla,Spain,-5.990998862003768,37.390918907097486,143,5,9,0,1,7.63,10.71,DAILY,5,271591685511971936
Marseille,France,5.410187262717532,43.309657890393694,162,5,10,0,1,9.82,17.59,DAILY,4,334402628194271744
New York,USA,-74.0548602622495,40.67694782367228,102,2,4,1,0,0.9,2.57,DAILY,3,277349668877379264
Marrakech,Morocco,-7.9867927326943,31.668088946324566,144,4,10,1,1,11.12,5.6,DAILY,3,78809564768220544
Dubai,UAE,55.27765172899905,25.221243261176404,127,4,7,0,0,3.26,9.36,DAILY,4,329102351904062080
Dubai,UAE,55.236282039431906,25.187566663169026,151,4,10,1,1,7.91,10.87,DAILY,5,446400145250742976
Tangier,Morocco,-5.874570682582653,35.802562839282764,118,4,9,0,0,9.06,18.11,DAILY,5,72912572510875456
Lyon,France,4.8387997702999925,45.81099166384784,81,2,4,1,1,3.51,8.27,DAILY,5,304725976604035648
New York,USA,-73.99675520872181,40.67250896791008,103,3,7,0,0,10.76,5.42,DAILY,5,380428948150878720
Marseille,France,5.370499566025259,43.338996907930984,58,1,2,0,1,1.99,16.3,DAILY,5,256982766678124704
Nice,France,7.2965499553080635,43.72421044954687,86,3,6,0,1,4.94,6.74,DAILY,1,155572069419452672
Sevilla,Spain,-5.96284665593621,37.34697802992355,186,5,10,1,1,3.43,14.52,DAILY,2,190815416840685504
Lyon,France,4.873927085137715,45.7884062418301,97,3,7,0,1,1.48,13.94,DAILY,4,259334655390221728
Los Angeles,USA,-118.26984556834138,34.01701111881554,195,6,13,1,0,6.45,19.57,DAILY,2,326531805495595712
Marseille,France,5.39640772096501,43.27394936541479,187,6,12,1,1,0.67,14.8,DAILY,1,229240041465385664
Lyon,France,4.84024783869459,45.744357859432604,34,1,1,1,0,5.61,13.44,DAILY,5,215332802115082976
New York,USA,-73.98774751641216,40.74533277460524,28,1,4,1,0,13.38,18.75,DAILY,4,237180835613947968
Dubai,UAE,55.240458020485654,25.2254430478425,182,6,14,0,1,1.43,2.12,DAILY,2,455102178306638144
New York,USA,-73.98245781399731,40.66428102312025,46,1,2,1,0,11.16,8.05,DAILY,2,154535407068909408
New York,USA,-74.00909983444696,40.69193068594882,135,4,10,1,0,4.0,13.02,DAILY,4,385270816218841920
Miami,USA,-80.19502284207842,25.751423310152436,178,6,13,1,1,11.68,19.58,DAILY,4,479494596781895936
Casablanca,Morocco,-7.600295769223575,33.617225778086734,37,1,3,1,0,7.73,18.88,DAILY,5,60000043852183032
Paris,France,2.308559317976727,48.87280425874399,144,4,9,0,0,0.63,11.44,DAILY,1,204456810164727744
Dubai,UAE,55.22499300969849,25.222850143259826,152,4,8,0,0,13.65,17.47,DAILY,5,358733987775877312
Chicago,USA,-87.59886865142792,41.84116373702794,20,1,1,0,0,13.56,14.07,DAILY,4,192793245449099616
Marseille,France,5.3448312030656355,43.24664010346537,143,5,10,0,1,10.96,10.36,DAILY,4,321038013465098752
Rabat,Morocco,-6.849552239174265,34.031239720343144,126,3,8,0,1,1.2,15.86,DAILY,2,60464834509285264
Sevilla,Spain,-5.970710672130474,37.35443644164925,84,2,3,1,1,0.53,6.25,DAILY,5,209284156713017920
Los Angeles,USA,-118.23224982945398,34.08048890527114,153,4,9,1,1,1.55,8.37,DAILY,3,444208967875229760
Valencia,Spain,-0.41763471398745267,39.46513386817176,149,5,9,0,1,2.64,14.59,DAILY,2,210337685928806592
Valencia,Spain,-0.33807157037747815,39.43838018554286,197,6,11,0,1,0.77,7.58,DAILY,4,270490331867656576
Dubai,UAE,55.281973689390426,25.16726243191993,197,6,11,0,1,9.47,9.8,DAILY,3,421874973030214464
Rabat,Morocco,-6.85837293746008,34.0520769854272,141,4,8,0,0,2.64,15.18,DAILY,2,54185015135587992
Marrakech,Morocco,-7.94241688489103,31.605836075702616,130,3,6,0,0,5.6,16.26,DAILY,4,58240481611497496
Abu Dhabi,UAE,54.36128618701721,24.445064739550258,140,5,10,0,0,2.24,2.19,DAILY,1,249152259185043072
Lyon,France,4.801528766553334,45.797231141988526,183,5,9,0,1,6.99,18.54,DAILY,2,230949355036659648
Tangier,Morocco,-5.87213202623881,35.7403276873995,176,5,11,1,1,12.17,18.96,DAILY,4,88902109872249056
Los Angeles,USA,-118.26090890026107,34.021197256134215,131,3,7,0,0,6.83,17.34,DAILY,2,226271297354867552
Casablanca,Morocco,-7.614850601754014,33.55235794617019,78,2,5,1,1,10.88,1.7,DAILY,1,45808102459026608
Marseille,France,5.410606786829827,43.34559725914321,162,5,11,0,1,3.15,5.64,DAILY,1,186774283107119424
Abu Dhabi,UAE,54.35020138747835,24.477168296348882,35,1,3,1,0,10.44,6.02,DAILY,4,202931424220050112
Sevilla,Spain,-5.996869343095238,37.39644979142741,93,2,5,1,0,3.23,7.49,DAILY,4,165609498135551488
Los Angeles,USA,-118.27873364630734,34.036320501008255,132,4,7,0,1,9.69,8.85,DAILY,4,418995164689059072
Chicago,USA,-87.59372323057985,41.88174181201421,151,5,12,1,1,2.31,18.14,DAILY,1,346483122519267968
Dubai,UAE,55.239829506378314,25.22091407088015,199,6,12,1,1,12.23,10.67,DAILY,4,470391013931541568
Madrid,Spain,-3.7374176396322834,40.463777340083496,35,1,1,0,0,4.87,12.58,DAILY,1,45859251634988776
Miami,USA,-80.20588584356395,25.71398500001023,60,2,3,1,0,8.91,18.46,DAILY,3,218239404562726688
Casablanca,Morocco,-7.5989990979134845,33.61691365210166,184,5,12,0,0,9.09,18.78,DAILY,2,56689801372716240
Marrakech,Morocco,-7.978902089085797,31.663290076522213,97,2,4,1,0,13.63,4.3,DAILY,4,55903233164938240
Sevilla,Spain,-5.953973858036429,37.40762056182396,177,5,12,0,0,5.8,16.9,DAILY,4,193634939078491072
Paris,France,2.363627795761169,48.86767441379179,179,5,12,0,1,3.25,5.35,DAILY,4,388628008147185344
Lyon,France,4.8234784770757235,45.80568933246263,111,4,9,1,1,1.81,11.45,DAILY,3,251399212454408224
Marrakech,Morocco,-7.955605995815562,31.662801051913146,177,6,13,1,0,14.3,4.95,DAILY,1,51776469181169616
Chicago,USA,-87.63474807142384,41.895434103467316,66,2,4,0,0,4.42,1.37,DAILY,3,221567353531693376
Rabat,Morocco,-6.871019464069436,34.05444312167572,65,2,3,1,1,13.56,13.32,DAILY,2,50051241661931488
Dubai,UAE,55.268455372822494,25.236181543570773,185,6,14,1,0,2.82,13.2,DAILY,2,370939615497374720
Los Angeles,USA,-118.22095318159917,34.0880939294586,198,6,12,1,0,14.94,15.15,DAILY,2,339561469490720128
Marseille,France,5.3963356730627,43.32533771044151,66,1,2,1,1,2.15,5.64,DAILY,4,260584767093562528
Marseille,France,5.413046351346412,43.26949074679359,47,2,4,0,0,14.11,18.77,DAILY,1,72318061997785440
Abu Dhabi,UAE,54.37762139480233,24.41864570428311,54,1,3,0,0,7.47,16.95,DAILY,1,92549320218585648
Marrakech,Morocco,-8.019134746709769,31.597493465637527,22,1,4,1,0,1.2,7.79,DAILY,5,59942287933261920
Nice,France,7.277273470589016,43.70316445346623,189,5,11,1,0,10.56,5.69,DAILY,5,305148388253063808
Rabat,Morocco,-6.865665634968115,34.02343989737737,79,2,3,1,0,2.9,13.44,DAILY,2,37442550207153936
Los Angeles,USA,-118.26935438628618,34.026367078883325,34,1,1,1,0,2.98,16.7,DAILY,5,294000392632671552
Abu Dhabi,UAE,54.34239553361151,24.481784345941826,20,1,3,1,0,8.48,7.95,DAILY,3,159352389824196640
Dubai,UAE,55.25682725821331,25.190472368524446,105,3,5,1,0,7.33,4.02,DAILY,1,180233427172658592
Miami,USA,-80.15362752223834,25.720903890264108,115,3,6,0,0,1.57,8.05,DAILY,5,407921782535316480
Casablanca,Morocco,-7.59817038517049,33.5699780106434,80,2,3,0,1,3.68,16.43,DAILY,1,35384046157010616
Lyon,France,4.880999787414979,45.75185577798527,191,5,12,0,1,7.46,15.99,DAILY,3,268962601286443840
Tangier,Morocco,-5.817850715685959,35.729142145068394,182,5,11,0,0,14.77,14.64,DAILY,1,48272261261301712
Madrid,Spain,-3.6877346485953004,40.4371236313634,95,3,5,0,0,13.71,14.82,DAILY,2,105466957564410112
Paris,France,2.3235357584263827,48.8511279065758,96,3,6,0,0,12.9,14.19,DAILY,2,173580082647248288
Tangier,Morocco,-5.810102672934643,35.75697316997817,76,3,5,1,1,2.39,16.43,DAILY,3,67584348435420344
Barcelona,Spain,2.2105266519681157,41.432282627866286,160,5,10,1,1,6.58,14.52,DAILY,4,267989806611692704
Rabat,Morocco,-6.843840840317881,34.01727099094249,189,6,11,1,0,5.9,14.14,DAILY,1,43822728737577144
Paris,France,2.3274822465197285,48.80822292830165,173,5,12,0,0,6.09,3.45,DAILY,3,274698993161860128
Dubai,UAE,55.23907653586561,25.23020181168828,176,5,10,0,1,4.77,9.65,DAILY,5,442988001330339456
Abu Dhabi,UAE,54.405322802366804,24.48406247037785,67,1,2,0,0,10.11,3.2,DAILY,4,220011868455283552
Casablanca,Morocco,-7.602079407820368,33.60138468101403,89,3,6,0,1,8.67,12.45,DAILY,4,70583360688231800
Paris,France,2.3467083846290495,48.895568549430685,156,5,12,1,1,9.5,18.68,DAILY,2,293388499123933120
Madrid,Spain,-3.6753008730426444,40.381526872037405,85,3,7,0,1,4.4,17.78,DAILY,5,262242020644602848
Casablanca,Morocco,-7.6242801764598935,33.61066601101067,78,2,3,1,0,1.6,4.81,DAILY,4,56492718288840152
Casablanca,Morocco,-7.598085515427133,33.55837696184674,177,6,14,1,0,6.5,18.26,DAILY,3,64403241398706176
Abu Dhabi,UAE,54.40853578712728,24.447847102592235,156,5,9,1,0,9.6,15.36,DAILY,3,266429208372711456
Abu Dhabi,UAE,54.42116994555775,24.445822293477395,188,5,11,0,1,9.83,9.1,DAILY,4,386439099078971968
Nice,France,7.255719924166815,43.73008177228912,141,5,10,1,0,7.8,6.68,DAILY,3,221299668564173088
Dubai,UAE,55.30841247608113,25.246270988761225,40,2,3,1,0,2.34,2.62,DAILY,2,161023173547554464
Dubai,UAE,55.24453065700966,25.21153648443281,174,4,7,0,0,7.09,8.24,DAILY,3,311682359808982784
Miami,USA,-80.23758935720662,25.78250471750941,111,3,5,1,0,9.51,2.91,DAILY,4,347822674317985216
Rabat,Morocco,-6.831008200997141,34.01995547885477,183,5,12,0,1,11.88,19.76,DAILY,5,107853758418726176
Abu Dhabi,UAE,54.3572541079805,24.464872142416603,16,1,4,1,0,1.79,17.34,DAILY,2,132844542856710960
Abu Dhabi,UAE,54.36796596635877,24.43223382508122,169,4,7,0,1,10.94,4.82,DAILY,5,478925840555536192
Casablanca,Morocco,-7.547220437491172,33.531999518618136,41,1,4,0,0,7.22,17.17,DAILY,4,51251966715075784
Abu Dhabi,UAE,54.33742352690969,24.422257364561233,64,1,2,0,1,4.43,14.41,DAILY,5,329831772490603776
New York,USA,-74.03685828725989,40.70753378460946,117,4,9,0,0,7.17,9.52,DAILY,3,319283488870773504
Marrakech,Morocco,-7.976410573278059,31.62299389124367,82,2,6,1,0,10.61,7.57,DAILY,4,59187063493966480
Chicago,USA,-87.66032376658414,41.894914654664845,37,1,4,1,0,14.09,7.55,DAILY,1,108121509644511120
Abu Dhabi,UAE,54.38873472446282,24.495692364856993,156,5,9,1,0,14.9,1.56,DAILY,3,340009339659388288
Miami,USA,-80.17404368097812,25.73636071497968,158,4,7,0,1,11.45,15.26,DAILY,2,345036886218307904
Los Angeles,USA,-118.2308588103982,34.014035017921856,116,3,8,0,1,5.74,2.48,DAILY,5,485347052213283328
Paris,France,2.4006538667331485,48.89842168267571,51,1,1,1,0,12.84,11.76,DAILY,4,192817271570028480
Nice,France,7.282135965315704,43.6746529723296,147,4,8,1,1,6.41,0.62,DAILY,5,422728603570657024
Abu Dhabi,UAE,54.40905632728165,24.412276801555546,74,2,3,0,1,5.0,5.87,DAILY,4,269989784655661536
Sevilla,Spain,-5.977901878187476,37.38643799542641,105,3,7,0,0,3.18,9.04,DAILY,4,159032901844198592
Madrid,Spain,-3.722660080729433,40.444792440904656,184,6,11,1,1,8.01,10.07,DAILY,1,180443109137858752
Abu Dhabi,UAE,54.37844173995086,24.472767863852326,34,1,2,0,0,2.34,3.0,DAILY,3,178797606922160416
Lyon,France,4.8024276887987565,45.774776031218245,43,2,5,0,0,0.98,16.04,DAILY,4,188194040157740832
Los Angeles,USA,-118.22080184622789,34.042096235056576,82,3,5,1,0,6.04,10.56,DAILY,1,162610237660759904
Dubai,UAE,55.262295761400885,25.248947942809128,166,4,9,0,0,2.01,17.88,DAILY,1,245529064706806208
Abu Dhabi,UAE,54.3682448076004,24.485442102130037,35,1,3,1,0,1.17,18.67,DAILY,2,140790617911632608
Casablanca,Morocco,-7.555037352174592,33.62304574680638,127,4,10,1,0,12.36,8.03,DAILY,1,37721310782527232
Madrid,Spain,-3.712449480268657,40.42398237689636,82,3,8,1,0,6.68,17.85,DAILY,2,124724573011589968
Rabat,Morocco,-6.854750361203577,34.06453745044606,40,2,6,1,0,10.71,19.32,DAILY,4,58181264445720736
Dubai,UAE,55.24150269227708,25.169468064128154,48,1,4,1,0,1.14,8.68,DAILY,4,275548383309149760
Abu Dhabi,UAE,54.39247900781616,24.497050383143268,39,1,1,0,0,2.47,18.48,DAILY,4,196262657033544416
Rabat,Morocco,-6.812615370590827,34.016286640230746,200,6,12,0,0,9.35,0.59,DAILY,1,56117474883676976
Paris,France,2.354291603415105,48.86682931447865,109,4,7,0,1,9.52,5.87,DAILY,1,184934134768858496
Rabat,Morocco,-6.803163986158359,33.978091033107496,65,1,3,0,1,13.41,10.18,DAILY,1,38364455349702640
Paris,France,2.345400831991872,48.82798867445904,151,5,9,1,0,10.83,0.29,DAILY,5,366156664147527616
Abu Dhabi,UAE,54.40626719226418,24.46227710069498,184,5,10,0,1,8.69,2.21,DAILY,3,369472218665197120
Marrakech,Morocco,-8.015107901869772,31.656053752502384,74,2,5,0,0,12.33,8.43,DAILY,2,33244826675104344
Chicago,USA,-87.63077564772732,41.88041802707048,149,5,12,0,1,3.21,0.72,DAILY,5,581401152087358592
Casablanca,Morocco,-7.554226360365498,33.57334876667976,100,3,8,0,0,12.47,3.08,DAILY,1,35837442874945344
Abu Dhabi,UAE,54.38991687727044,24.41265944707005,162,5,11,0,0,8.49,13.2,DAILY,1,221474150693650336
Valencia,Spain,-0.355639804181074,39.426489943980535,107,4,9,0,0,5.66,18.02,DAILY,2,136376321971645280
Valencia,Spain,-0.3495198638785913,39.51783071088046,195,5,9,1,1,3.68,17.66,DAILY,3,207588480865340544
Chicago,USA,-87.65594449714477,41.91464568279777,45,2,3,0,0,13.73,6.17,DAILY,3,171987005673044800
Dubai,UAE,55.241838805840935,25.174660369952306,47,1,2,1,0,3.97,2.82,DAILY,4,250154800164194624
Valencia,Spain,-0.37266727319733844,39.50221755944675,187,6,11,0,0,13.91,6.75,DAILY,4,230922004830297408
Miami,USA,-80.19615222548141,25.777706288762474,46,2,5,1,0,7.93,4.28,DAILY,1,134737781264375376
Tangier,Morocco,-5.815923302261949,35.72114227725958,76,2,5,1,1,12.98,6.38,DAILY,1,42326334403118504
New York,USA,-74.04842655391968,40.72558424599655,154,4,9,1,1,7.66,13.46,DAILY,4,492042713607949824
Abu Dhabi,UAE,54.34757375620706,24.43640253991801,159,4,10,0,0,1.5,8.33,DAILY,2,259457694520566496
Marrakech,Morocco,-7.978640136496929,31.628245587080304,129,4,7,1,0,6.92,2.39,DAILY,2,53223978763508200
Marrakech,Morocco,-7.999083322952724,31.605569111727373,90,3,7,0,1,11.44,2.0,DAILY,1,51856356261535352
Madrid,Spain,-3.7285275782929124,40.39912777344382,67,1,2,0,1,8.43,8.7,DAILY,2,125880624172952976
Madrid,Spain,-3.6804678361755756,40.4314564318316,85,3,6,1,0,2.55,15.45,DAILY,3,143011520899638032
Los Angeles,USA,-118.19376518778421,34.041288586459316,172,4,10,0,1,5.27,16.61,DAILY,4,397989007541311360
Paris,France,2.34719287444439,48.8340675403827,179,6,12,0,1,11.6,2.04,DAILY,2,307367720948169024
Rabat,Morocco,-6.826971923816194,34.03830676193004,195,5,10,1,0,13.48,18.71,DAILY,4,72342631404906288
Madrid,Spain,-3.702830242491837,40.41251925782917,142,4,7,0,0,0.23,0.1,DAILY,5,270459714452796480
New York,USA,-73.96455159684496,40.68298685900541,172,4,10,1,1,6.54,4.7,DAILY,5,543961787781794944
Abu Dhabi,UAE,54.383246057370236,24.454710868770167,75,3,6,0,1,5.93,0.88,DAILY,5,394096696385460480
Madrid,Spain,-3.73209982385426,40.389545727024554,43,1,2,0,0,4.95,1.4,DAILY,5,175605040509488704
Marseille,France,5.342571808752098,43.26620178134911,163,5,10,1,1,5.33,9.27,DAILY,4,306119121994208256
Valencia,Spain,-0.35465388401660974,39.449010743363345,122,4,8,0,0,1.39,19.66,DAILY,5,229016303741781600
Lyon,France,4.7965147056591295,45.722485697718966,128,4,10,0,0,4.13,11.41,DAILY,3,220564586600568032
Rabat,Morocco,-6.803564508030585,34.05501748929243,69,1,2,0,0,6.89,19.38,DAILY,5,59739579992370432
Paris,France,2.3466062053154886,48.88579858892697,176,6,12,0,1,0.72,13.05,DAILY,5,434580754120897408
Marrakech,Morocco,-8.02037659638842,31.648706629090626,39,1,4,1,0,7.05,10.7,DAILY,1,24944887528221944
New York,USA,-73.97112025857419,40.68495869737354,20,1,4,1,0,12.79,9.85,DAILY,3,205088233099855744
Rabat,Morocco,-6.870970055375055,34.05512857697899,35,2,5,1,0,13.87,3.9,DAILY,5,64768863009048104
Abu Dhabi,UAE,54.35551174134271,24.502163853296466,174,5,12,1,1,13.62,14.78,DAILY,1,323983824270686080
Madrid,Spain,-3.7446407210930017,40.44497233704132,107,3,6,1,1,6.27,14.97,DAILY,1,138460586051335376
Dubai,UAE,55.28897928621841,25.251559036859682,174,5,12,0,1,2.67,9.83,DAILY,3,401004868453113216
Rabat,Morocco,-6.839669255508355,33.99469077695476,164,5,11,0,0,4.43,14.09,DAILY,5,89939200340161696
Los Angeles,USA,-118.21305582153225,34.019579812338336,134,3,6,1,1,7.51,14.23,DAILY,5,412600469816086656
Abu Dhabi,UAE,54.3962353852967,24.425936662082343,149,4,7,0,0,1.28,4.4,DAILY,2,251006651220678400
Los Angeles,USA,-118.26557645930959,34.004331329699156,118,3,7,0,0,5.52,11.9,DAILY,2,228616025394634272
Dubai,UAE,55.27905996909227,25.201835517580722,99,2,5,0,1,8.27,7.8,DAILY,4,339937769730189184
Casablanca,Morocco,-7.564754560703283,33.52612054223651,60,1,4,1,1,1.06,16.76,DAILY,5,74328352152448976
New York,USA,-73.9916507393964,40.730991890628594,124,3,7,0,1,13.07,4.53,DAILY,4,395664539513955840
Lyon,France,4.815338677757512,45.72075402316383,175,6,12,1,1,12.69,3.24,DAILY,5,362782551336731520
Rabat,Morocco,-6.8326435388486555,34.011542216824914,83,3,6,1,1,8.22,9.48,DAILY,3,57744136898690248
New York,USA,-74.00144207860197,40.75834755385455,102,2,5,0,0,7.68,17.36,DAILY,3,274190086224327840
Rabat,Morocco,-6.837078740131714,33.97339104152203,60,2,5,0,0,14.7,5.76,DAILY,1,21440974897244420
New York,USA,-73.9748711224152,40.762114537484734,108,3,5,0,0,3.7,0.54,DAILY,3,308577751091611456
Madrid,Spain,-3.7461926995665813,40.41526072628651,158,5,11,0,1,7.9,2.87,DAILY,5,274014543537633056
Miami,USA,-80.2331484672931,25.760914366245004,154,5,12,1,0,13.78,14.23,DAILY,2,278733552289698496
Miami,USA,-80.23414852474083,25.721650825681653,122,3,8,1,0,9.87,0.2,DAILY,2,308884506439081472
Abu Dhabi,UAE,54.39513325762973,24.413321084789246,187,6,13,0,1,6.82,18.48,DAILY,2,347117819967123392
Abu Dhabi,UAE,54.362396539390005,24.45427732103495,115,3,7,0,0,7.05,6.65,DAILY,1,150098869035231040
Rabat,Morocco,-6.8806184489847455,34.032723848574825,23,1,1,0,0,9.72,3.61,DAILY,1,14212925250713388
Tangier,Morocco,-5.850241061525674,35.805056102266995,28,1,2,1,0,3.0,1.72,DAILY,1,21640210946511732
Madrid,Spain,-3.672405409773905,40.41786720618267,162,4,10,0,1,7.47,7.22,DAILY,3,235937171182112736
Marseille,France,5.344068398732342,43.27785131274905,97,3,7,1,0,4.9,7.32,DAILY,2,147830310784933696
Casablanca,Morocco,-7.630928879909669,33.59825375684157,35,1,4,0,0,13.24,8.33,DAILY,1,22266131400505808
Miami,USA,-80.21892801017687,25.794210534718683,69,2,3,0,0,5.93,7.29,DAILY,5,276070754545587648
New York,USA,-73.98776039014236,40.69041838429517,102,3,5,0,0,2.64,4.87,DAILY,2,235523783092167232
Abu Dhabi,UAE,54.39695196543434,24.423311141106645,68,1,3,0,0,2.13,5.85,DAILY,2,149565342111291872
Los Angeles,USA,-118.22596229385668,34.09424209546538,180,5,11,1,0,13.8,1.31,DAILY,3,431749730671330816
New York,USA,-74.0468187288168,40.67816480380224,27,1,2,0,0,4.45,11.82,DAILY,1,82461548850199840
Casablanca,Morocco,-7.593202545367408,33.55389972989409,34,1,2,0,0,8.65,1.09,DAILY,2,28885382461252952
Abu Dhabi,UAE,54.3362945104929,24.42551133003995,95,2,6,1,0,1.92,19.52,DAILY,2,215774847789468768
Madrid,Spain,-3.721715676322691,40.45523232149934,98,2,3,1,0,4.21,19.65,DAILY,3,140359328808252336
Sevilla,Spain,-5.954948629663165,37.41229295325341,161,5,11,1,1,14.81,14.07,DAILY,1,177257354735420448
Barcelona,Spain,2.173199734443404,41.42335529796739,172,5,10,1,1,7.44,4.67,DAILY,5,289704311293156992
Madrid,Spain,-3.6836413666829304,40.40021992727578,77,2,5,1,1,10.37,15.82,DAILY,4,190901417140261888
Abu Dhabi,UAE,54.39713440730735,24.471215504331905,20,1,1,0,0,0.78,6.33,DAILY,5,253379922789641152
Valencia,Spain,-0.3834404177743318,39.43150681993525,123,4,9,1,0,1.17,8.69,DAILY,1,121150095741566064
Madrid,Spain,-3.667840950173943,40.368056778662016,128,3,7,1,1,10.79,15.53,DAILY,1,135980526680498928
Dubai,UAE,55.312134970682564,25.15606459900002,92,3,6,0,1,5.98,2.4,DAILY,4,377095747667127808
Valencia,Spain,-0.35554751497241366,39.48361219447903,53,2,3,1,1,1.24,18.13,DAILY,1,103444615872624112
Abu Dhabi,UAE,54.397750727897495,24.408354602977198,143,4,9,1,0,5.41,2.62,DAILY,4,342652057863589120
Sevilla,Spain,-5.989526856237384,37.416027040682465,52,1,3,0,1,8.96,14.53,DAILY,1,106031497336751600
Miami,USA,-80.21899210605004,25.78385585852342,55,2,5,1,0,0.3,17.93,DAILY,4,277296032058087552
Los Angeles,USA,-118.2146390283584,34.092508791601006,154,5,9,0,0,6.73,19.93,DAILY,3,295806519448641024
Tangier,Morocco,-5.790373381045048,35.73893668822724,163,4,9,0,1,3.8,5.28,DAILY,5,98557165498464816
